Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset
AH01	aardappel	picture+word	silent	silent	0	0,2	800
AH01	aardappel	picture+word	silent	aardappel	0,2	1,1	1000
AH01	aardappel	picture+word	silent	!	1,1	1,2005	1900
AH01	aardbei	picture	aloud	aloud	0	0,4693	800
AH01	aardbei	picture	aloud	aardbei	0,4693	1,0478	1269
AH01	aardbei	picture	aloud	!	1,0478	1,2041	1848
AH01	anker	picture	silent	silent	0	0,2	800
AH01	anker	picture	silent	anker	0,2	1,1	1000
AH01	anker	picture	silent	!	1,1	1,2067	1900
AH01	asperges	picture	aloud	aloud	0	0,5019	800
AH01	asperges	picture	aloud	asperges	0,5019	1,1694	1302
AH01	asperges	picture	aloud	!	1,1694	1,2079	1969
AH01	bakje	picture	silent	silent	0	0,2	800
AH01	bakje	picture	silent	bakje	0,2	1,1	1000
AH01	bakje	picture	silent	!	1,1	1,2006	1900
AH01	ballon	picture+word	silent	silent	0	0,2	800
AH01	ballon	picture+word	silent	ballon	0,2	1,1	1000
AH01	ballon	picture+word	silent	!	1,1	1,2068	1900
AH01	banaan	picture	silent	silent	0	0,2	800
AH01	banaan	picture	silent	banaan	0,2	1,1	1000
AH01	banaan	picture	silent	!	1,1	1,2047	1900
AH01	band	picture+word	silent	silent	0	0,2	800
AH01	band	picture+word	silent	band	0,2	1,1	1000
AH01	band	picture+word	silent	!	1,1	1,2077	1900
AH01	bed	picture	silent	silent	0	0,2	800
AH01	bed	picture	silent	bed	0,2	1,1	1000
AH01	bed	picture	silent	!	1,1	1,2076	1900
AH01	beker	picture	aloud	aloud	0	0,9028	800
AH01	beker	picture	aloud	beker	0,9028	1,1741	1703
AH01	beker	picture	aloud	!	1,1741	1,2034	1974
AH01	bierflesje	picture+word	aloud	aloud	0	0,4217	800
AH01	bierflesje	picture+word	aloud	bierflesje	0,4217	1,1095	1222
AH01	bierflesje	picture+word	aloud	!	1,1095	1,2063	1910
AH01	bijl	picture+word	silent	silent	0	0,2	800
AH01	bijl	picture+word	silent	bijl	0,2	1,1	1000
AH01	bijl	picture+word	silent	!	1,1	1,2082	1900
AH01	bleekselderij	picture+word	silent	silent	0	0,2	800
AH01	bleekselderij	picture+word	silent	bleekselderij	0,2	1,1	1000
AH01	bleekselderij	picture+word	silent	!	1,1	1,207	1900
AH01	boom	picture	aloud	aloud	0	0,3563	800
AH01	boom	picture	aloud	boom	0,3563	0,6393	1156
AH01	boom	picture	aloud	!	0,6393	1,2052	1439
AH01	bord	picture	silent	silent	0	0,2	800
AH01	bord	picture	silent	bord1	0,2	1,1	1000
AH01	bord	picture	silent	!	1,1	1,2003	1900
AH01	bril	picture	silent	silent	0	0,2	800
AH01	bril	picture	silent	bril1	0,2	1,1	1000
AH01	bril	picture	silent	!	1,1	1,2078	1900
AH01	broccoli	picture	aloud	aloud	0	0,4701	800
AH01	broccoli	picture	aloud	broccoli	0,4701	1,098	1270
AH01	broccoli	picture	aloud	!	1,098	1,2003	1898
AH01	brood	picture	silent	silent	0	0,2	800
AH01	brood	picture	silent	brood	0,2	1,1	1000
AH01	brood	picture	silent	!	1,1	1,2018	1900
AH01	brug	picture+word	aloud	aloud	0	0,516	800
AH01	brug	picture+word	aloud	brug	0,516	0,9568	1316
AH01	brug	picture+word	aloud	!	0,9568	1,2	1757
AH01	cadeau	picture+word	silent	silent	0	0,2	800
AH01	cadeau	picture+word	silent	cadeau1	0,2	1,1	1000
AH01	cadeau	picture+word	silent	!	1,1	1,1997	1900
AH01	champagne	picture	silent	silent	0	0,2	800
AH01	champagne	picture	silent	champagne	0,2	1,1	1000
AH01	champagne	picture	silent	!	1,1	1,2068	1900
AH01	champignon	picture	silent	silent	0	0,2	800
AH01	champignon	picture	silent	champignon1	0,2	1,1	1000
AH01	champignon	picture	silent	!	1,1	1,2068	1900
AH01	courgette	picture+word	aloud	aloud	0	0,5318	800
AH01	courgette	picture+word	aloud	courgette	0,5318	1,0577	1332
AH01	courgette	picture+word	aloud	!	1,0577	1,1999	1858
AH01	deegroller	picture	aloud	aloud	0	1,1664	800
AH01	deegroller	picture	aloud	deegroller	1,1664	1,1724	1966
AH01	deegroller	picture	aloud	!	1,1724	1,2009	1972
AH01	dolfijn	picture+word	aloud	aloud	0	0,4127	800
AH01	dolfijn	picture+word	aloud	dolfijn	0,4127	0,9612	1213
AH01	dolfijn	picture+word	aloud	!	0,9612	1,2065	1761
AH01	doos	picture+word	silent	silent	0	0,2	800
AH01	doos	picture+word	silent	doos	0,2	1,1	1000
AH01	doos	picture+word	silent	!	1,1	1,1996	1900
AH01	douche	picture	aloud	aloud	0	0,4213	800
AH01	douche	picture	aloud	douche	0,4213	0,8979	1221
AH01	douche	picture	aloud	!	0,8979	1,2009	1698
AH01	drumstel	picture+word	silent	silent	0	0,2	800
AH01	drumstel	picture+word	silent	drumstel	0,2	1,1	1000
AH01	drumstel	picture+word	silent	!	1,1	1,2041	1900
AH01	ductape	picture+word	silent	silent	0	0,2	800
AH01	ductape	picture+word	silent	ductape	0,2	1,1	1000
AH01	ductape	picture+word	silent	!	1,1	1,2017	1900
