Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset	onset_ms
AH01	aardappel	picture+word	silent	silent	0	0.2	800	0
AH01	aardappel	picture+word	silent	aardappel	0.2	1.1	1000	200
AH01	aardappel	picture+word	silent	!	1.1	1.2	1900	1100
AH01	aardbei	picture	aloud	aloud	0	0.47	800	0
AH01	aardbei	picture	aloud	aardbei	0.47	1.05	1269	469
AH01	aardbei	picture	aloud	!	1.05	1.2	1848	1048
AH01	anker	picture	silent	silent	0	0.2	800	0
AH01	anker	picture	silent	anker	0.2	1.1	1000	200
AH01	anker	picture	silent	!	1.1	1.21	1900	1100
AH01	asperges	picture	aloud	aloud	0	0.5	800	0
AH01	asperges	picture	aloud	asperges	0.5	1.17	1302	502
AH01	asperges	picture	aloud	!	1.17	1.21	1969	1169
AH01	bakje	picture	silent	silent	0	0.2	800	0
AH01	bakje	picture	silent	bakje	0.2	1.1	1000	200
AH01	bakje	picture	silent	!	1.1	1.2	1900	1100
AH01	ballon	picture+word	silent	silent	0	0.2	800	0
AH01	ballon	picture+word	silent	ballon	0.2	1.1	1000	200
AH01	ballon	picture+word	silent	!	1.1	1.21	1900	1100
AH01	banaan	picture	silent	silent	0	0.2	800	0
AH01	banaan	picture	silent	banaan	0.2	1.1	1000	200
AH01	banaan	picture	silent	!	1.1	1.2	1900	1100
AH01	band	picture+word	silent	silent	0	0.2	800	0
AH01	band	picture+word	silent	band	0.2	1.1	1000	200
AH01	band	picture+word	silent	!	1.1	1.21	1900	1100
AH01	bed	picture	silent	silent	0	0.2	800	0
AH01	bed	picture	silent	bed	0.2	1.1	1000	200
AH01	bed	picture	silent	!	1.1	1.21	1900	1100
AH01	beker	picture	aloud	aloud	0	0.9	800	0
AH01	beker	picture	aloud	beker	0.9	1.17	1703	903
AH01	beker	picture	aloud	!	1.17	1.2	1974	1174
AH01	bierflesje	picture+word	aloud	aloud	0	0.42	800	0
AH01	bierflesje	picture+word	aloud	bierflesje	0.42	1.11	1222	422
AH01	bierflesje	picture+word	aloud	!	1.11	1.21	1910	1110
AH01	bijl	picture+word	silent	silent	0	0.2	800	0
AH01	bijl	picture+word	silent	bijl	0.2	1.1	1000	200
AH01	bijl	picture+word	silent	!	1.1	1.21	1900	1100
AH01	bleekselderij	picture+word	silent	silent	0	0.2	800	0
AH01	bleekselderij	picture+word	silent	bleekselderij	0.2	1.1	1000	200
AH01	bleekselderij	picture+word	silent	!	1.1	1.21	1900	1100
AH01	boom	picture	aloud	aloud	0	0.36	800	0
AH01	boom	picture	aloud	boom	0.36	0.64	1156	356
AH01	boom	picture	aloud	!	0.64	1.21	1439	639
AH01	bord	picture	silent	silent	0	0.2	800	0
AH01	bord	picture	silent	bord1	0.2	1.1	1000	200
AH01	bord	picture	silent	!	1.1	1.2	1900	1100
AH01	bril	picture	silent	silent	0	0.2	800	0
AH01	bril	picture	silent	bril1	0.2	1.1	1000	200
AH01	bril	picture	silent	!	1.1	1.21	1900	1100
AH01	broccoli	picture	aloud	aloud	0	0.47	800	0
AH01	broccoli	picture	aloud	broccoli	0.47	1.1	1270	470
AH01	broccoli	picture	aloud	!	1.1	1.2	1898	1098
AH01	brood	picture	silent	silent	0	0.2	800	0
AH01	brood	picture	silent	brood	0.2	1.1	1000	200
AH01	brood	picture	silent	!	1.1	1.2	1900	1100
AH01	brug	picture+word	aloud	aloud	0	0.52	800	0
AH01	brug	picture+word	aloud	brug	0.52	0.96	1316	516
AH01	brug	picture+word	aloud	!	0.96	1.2	1757	957
AH01	cadeau	picture+word	silent	silent	0	0.2	800	0
AH01	cadeau	picture+word	silent	cadeau1	0.2	1.1	1000	200
AH01	cadeau	picture+word	silent	!	1.1	1.2	1900	1100
AH01	champagne	picture	silent	silent	0	0.2	800	0
AH01	champagne	picture	silent	champagne	0.2	1.1	1000	200
AH01	champagne	picture	silent	!	1.1	1.21	1900	1100
AH01	champignon	picture	silent	silent	0	0.2	800	0
AH01	champignon	picture	silent	champignon1	0.2	1.1	1000	200
AH01	champignon	picture	silent	!	1.1	1.21	1900	1100
AH01	courgette	picture+word	aloud	aloud	0	0.53	800	0
AH01	courgette	picture+word	aloud	courgette	0.53	1.06	1332	532
AH01	courgette	picture+word	aloud	!	1.06	1.2	1858	1058
AH01	deegroller	picture	aloud	aloud	0	1.17	800	0
AH01	deegroller	picture	aloud	deegroller	1.17	1.17	1966	1166
AH01	deegroller	picture	aloud	!	1.17	1.2	1972	1172
AH01	dolfijn	picture+word	aloud	aloud	0	0.41	800	0
AH01	dolfijn	picture+word	aloud	dolfijn	0.41	0.96	1213	413
AH01	dolfijn	picture+word	aloud	!	0.96	1.21	1761	961
AH01	doos	picture+word	silent	silent	0	0.2	800	0
AH01	doos	picture+word	silent	doos	0.2	1.1	1000	200
AH01	doos	picture+word	silent	!	1.1	1.2	1900	1100
AH01	douche	picture	aloud	aloud	0	0.42	800	0
AH01	douche	picture	aloud	douche	0.42	0.9	1221	421
AH01	douche	picture	aloud	!	0.9	1.2	1698	898
AH01	drumstel	picture+word	silent	silent	0	0.2	800	0
AH01	drumstel	picture+word	silent	drumstel	0.2	1.1	1000	200
AH01	drumstel	picture+word	silent	!	1.1	1.2	1900	1100
AH01	ductape	picture+word	silent	silent	0	0.2	800	0
AH01	ductape	picture+word	silent	ductape	0.2	1.1	1000	200
AH01	ductape	picture+word	silent	!	1.1	1.2	1900	1100
AH01	ei	picture	aloud	aloud	0	0.42	800	0
AH01	ei	picture	aloud	ei	0.42	0.78	1221	421
AH01	ei	picture	aloud	!	0.78	1.2	1580	780
AH01	elleboog	picture	aloud	aloud	0	1.17	800	0
AH01	elleboog	picture	aloud	elleboog	1.17	1.17	1966	1166
AH01	elleboog	picture	aloud	!	1.17	1.2	1972	1172
AH01	friet	picture+word	aloud	aloud	0	0.35	800	0
AH01	friet	picture+word	aloud	friet	0.35	0.86	1147	347
AH01	friet	picture+word	aloud	!	0.86	1.2	1659	859
AH01	foehn	picture+word	silent	silent	0	0.2	800	0
AH01	foehn	picture+word	silent	foehn	0.2	1.1	1000	200
AH01	foehn	picture+word	silent	!	1.1	1.2	1900	1100
AH01	gember	picture	aloud	aloud	0	0.4	800	0
AH01	gember	picture	aloud	gember	0.4	0.99	1202	402
AH01	gember	picture	aloud	!	0.99	1.2	1794	994
AH01	hamer	picture+word	silent	silent	0	0.2	800	0
AH01	hamer	picture+word	silent	hamer	0.2	1.1	1000	200
AH01	hamer	picture+word	silent	!	1.1	1.2	1900	1100
AH01	handboeien	picture	aloud	aloud	0	0.44	800	0
AH01	handboeien	picture	aloud	handboeien	0.44	1.15	1236	436
AH01	handboeien	picture	aloud	!	1.15	1.2	1954	1154
AH01	helikopter	picture+word	silent	silent	0	0.2	800	0
AH01	helikopter	picture+word	silent	helikopter	0.2	1.1	1000	200
AH01	helikopter	picture+word	silent	!	1.1	1.2	1900	1100
AH01	kaars	picture	silent	silent	0	0.2	800	0
AH01	kaars	picture	silent	kaars	0.2	1.1	1000	200
AH01	kaars	picture	silent	!	1.1	1.2	1900	1100
AH01	kangoeroe	picture+word	aloud	aloud	0	0.47	800	0
AH01	kangoeroe	picture+word	aloud	kangoeroe	0.47	1.02	1275	475
AH01	kangoeroe	picture+word	aloud	!	1.02	1.2	1824	1024
AH01	kip	picture+word	silent	silent	0	0.2	800	0
AH01	kip	picture+word	silent	kip	0.2	1.1	1000	200
AH01	kip	picture+word	silent	!	1.1	1.2	1900	1100
AH01	kiwi	picture	aloud	aloud	0	0.48	800	0
AH01	kiwi	picture	aloud	kiwi	0.48	0.84	1278	478
AH01	kiwi	picture	aloud	!	0.84	1.21	1638	838
AH01	kleerhanger	picture	silent	silent	0	0.2	800	0
AH01	kleerhanger	picture	silent	kleerhanger	0.2	1.1	1000	200
AH01	kleerhanger	picture	silent	!	1.1	1.2	1900	1100
AH01	klomp	picture+word	aloud	aloud	0	0.46	800	0
AH01	klomp	picture+word	aloud	klomp	0.46	0.88	1256	456
AH01	klomp	picture+word	aloud	!	0.88	1.2	1677	877
AH01	knoop	picture+word	silent	silent	0	0.2	800	0
AH01	knoop	picture+word	silent	knoop	0.2	1.1	1000	200
AH01	knoop	picture+word	silent	!	1.1	1.21	1900	1100
AH01	kokosnoot	picture+word	silent	silent	0	0.2	800	0
AH01	kokosnoot	picture+word	silent	kokosnoot	0.2	1.1	1000	200
AH01	kokosnoot	picture+word	silent	!	1.1	1.2	1900	1100
AH01	kroon	picture	silent	silent	0	0.2	800	0
AH01	kroon	picture	silent	kroon	0.2	1.1	1000	200
AH01	kroon	picture	silent	!	1.1	1.2	1900	1100
AH01	kurk	picture+word	silent	silent	0	0.2	800	0
AH01	kurk	picture+word	silent	kurk	0.2	1.1	1000	200
AH01	kurk	picture+word	silent	!	1.1	1.2	1900	1100
AH01	kwast	picture+word	silent	silent	0	0.2	800	0
AH01	kwast	picture+word	silent	kwast	0.2	1.1	1000	200
AH01	kwast	picture+word	silent	!	1.1	1.2	1900	1100
AH01	laars	picture	aloud	aloud	0	0.5	800	0
AH01	laars	picture	aloud	laars	0.5	0.99	1304	504
AH01	laars	picture	aloud	!	0.99	1.2	1786	986
AH01	ladder	picture+word	aloud	aloud	0	0.41	800	0
AH01	ladder	picture+word	aloud	ladder	0.41	0.91	1211	411
AH01	ladder	picture+word	aloud	!	0.91	1.2	1715	915
AH01	lepel	picture	silent	silent	0	0.2	800	0
AH01	lepel	picture	silent	lepel	0.2	1.1	1000	200
AH01	lepel	picture	silent	!	1.1	1.2	1900	1100
AH01	limoen	picture	silent	silent	0	0.2	800	0
AH01	limoen	picture	silent	limoen	0.2	1.1	1000	200
AH01	limoen	picture	silent	!	1.1	1.2	1900	1100
AH01	liniaal	picture+word	aloud	aloud	0	0.5	800	0
AH01	liniaal	picture+word	aloud	liniaal	0.5	1.07	1305	505
AH01	liniaal	picture+word	aloud	!	1.07	1.2	1870	1070
AH01	lippenstift	picture+word	silent	silent	0	0.2	800	0
AH01	lippenstift	picture+word	silent	lippenstift	0.2	1.1	1000	200
AH01	lippenstift	picture+word	silent	!	1.1	1.2	1900	1100
AH01	maan	picture	aloud	aloud	0	0.2	800	0
AH01	maan	picture	aloud	maan	0.2	1.02	1000	200
AH01	maan	picture	aloud	MISSED	1.02	1.2	1816	1016
AH01	magnetron	picture+word	aloud	aloud	0	0.39	800	0
AH01	magnetron	picture+word	aloud	magnetron	0.39	1.08	1191	391
AH01	magnetron	picture+word	aloud	!	1.08	1.21	1876	1076
AH01	mais	picture+word	aloud	aloud	0	0.5	800	0
AH01	mais	picture+word	aloud	mais	0.5	0.97	1302	502
AH01	mais	picture+word	aloud	!	0.97	1.2	1771	971
AH01	microfoon	picture+word	aloud	aloud	0	0.36	800	0
AH01	microfoon	picture+word	aloud	microfoon	0.36	1	1157	357
AH01	microfoon	picture+word	aloud	!	1	1.21	1800	1000
AH01	microscoop	picture+word	aloud	aloud	0	0.47	800	0
AH01	microscoop	picture+word	aloud	microscoop	0.47	1.18	1273	473
AH01	microscoop	picture+word	aloud	!	1.18	1.21	1978	1178
AH01	mier	picture	silent	silent	0	0.2	800	0
AH01	mier	picture	silent	mier	0.2	1.1	1000	200
AH01	mier	picture	silent	!	1.1	1.21	1900	1100
AH01	muis	picture+word	silent	silent	0	0.2	800	0
AH01	muis	picture+word	silent	muis	0.2	1.1	1000	200
AH01	muis	picture+word	silent	!	1.1	1.21	1900	1100
AH01	naaimachine	picture+word	aloud	aloud	0	0.44	800	0
AH01	naaimachine	picture+word	aloud	naaimachine	0.44	1.17	1236	436
AH01	naaimachine	picture+word	aloud	!	1.17	1.21	1970	1170
AH01	nietmachine	picture+word	silent	silent	0	0.2	800	0
AH01	nietmachine	picture+word	silent	nietmachine	0.2	1.1	1000	200
AH01	nietmachine	picture+word	silent	!	1.1	1.2	1900	1100
AH01	oor	picture+word	aloud	aloud	0	0.53	800	0
AH01	oor	picture+word	aloud	oor	0.53	0.9	1328	528
AH01	oor	picture+word	aloud	!	0.9	1.2	1698	898
AH01	paard	picture+word	aloud	aloud	0	0.39	800	0
AH01	paard	picture+word	aloud	paard	0.39	0.85	1189	389
AH01	paard	picture+word	aloud	!	0.85	1.2	1646	846
AH01	panda	picture	silent	silent	0	0.2	800	0
AH01	panda	picture	silent	panda	0.2	1.1	1000	200
AH01	panda	picture	silent	!	1.1	1.2	1900	1100
AH01	papegaai	picture+word	silent	silent	0	0.2	800	0
AH01	papegaai	picture+word	silent	papegaai	0.2	1.1	1000	200
AH01	papegaai	picture+word	silent	!	1.1	1.21	1900	1100
AH01	paperclip	picture	silent	silent	0	0.2	800	0
AH01	paperclip	picture	silent	paperclip	0.2	1.1	1000	200
